,station_id,ride_count,lat,lng
0,190 Morgan,4,40.711071680975735,-73.9320957361997
1,2733.03,450,40.63338924709429,-74.01656577507018
2,2782.02,653,40.63572392308951,-74.0199657138179
3,2821.05,512,40.635547979147404,-74.0129979209024
4,2832.03,709,40.637025492963275,-74.0221488319435
5,2861.02,285,40.638582786908785,-74.01015805030406
6,2872.02,180,40.63766240171111,-74.01780989912778
7,2883.03,452,40.63825586233625,-74.02471361184716
8,2912.08,234,40.638213017939655,-74.01380748173708
9,2923.01,333,40.639863842856286,-74.01978585989819
10,2932.03,841,40.639413706199996,-74.02681163284998
11,2951.05,319,40.63969589879217,-74.00897750483735
12,2961.05,460,40.640138626037285,-74.01573675179166
13,2971.02,86,40.639988026060976,-74.02325811654879
14,3000.08,292,40.640797068579474,-74.01104393858279
15,3007.05,650,40.64204759516565,-73.98106044480521
16,3011.03,905,40.64127554928555,-74.01764332234555
17,3019.02,59,40.640485800142855,-74.02562885296427
18,3019.03,114,40.64244468317776,-74.02554509681357
19,3038.08,455,40.64251146530435,-74.00607063918696
20,3046.03,510,40.64382561726562,-73.97744764944142
21,3050.03,518,40.64242294637838,-74.01334016423166
22,3056.05,793,40.643555058633254,-73.98641321698224
23,3084.05,337,40.64273455213636,-74.0094630075767
24,3090.06,549,40.64282012063654,-73.97922075452692
25,3093.07,785,40.64264673318686,-74.01687825589303
26,3117.05,815,40.644770977762434,-74.00376685375497
27,3125.09,1418,40.64469525254563,-73.97452503714864
28,3129.08,414,40.64336499884466,-74.01188710111407
29,3135.04,318,40.64435735222956,-73.98427661097483
30,3138.09,230,40.64450583028318,-74.02148470978761
31,3161.02,468,40.645922889997856,-74.0056973341824
32,3166.03,715,40.645184189738096,-73.97963542920448
33,3169.07,1307,40.6448744651,-74.01454218612045
34,3178.02,308,40.646376264667765,-74.02308126902304
35,3192.05,1452,40.64736245293819,-74.00092837601855
36,3199.01,749,40.64771700668767,-73.97367601639678
37,3202.06,766,40.646357425799735,-74.00929277376832
38,3208.07,691,40.646023481017295,-73.98096545851152
39,3211.06,503,40.647449777032,-74.01885662245999
40,3220.01,605,40.64647683411148,-74.02608339075246
41,3230.01,1026,40.648494187898805,-73.97056049257043
42,3233.06,948,40.6470954704692,-74.0044685459425
43,3240.15,674,40.649027692360775,-73.9767519834551
44,3243.02,219,40.649131168376144,-74.0123625836101
45,3253.01,222,40.649290416227274,-74.02010193361818
46,3266.01,749,40.64817990784252,-74.00004577404462
47,3272.01,812,40.64806981055919,-73.97243996448111
48,3275.03,1031,40.64914415913172,-74.00948106561634
49,3280.04,1071,40.648002660257944,-73.97936087049906
50,3283.05,146,40.65017463202817,-74.0156022667817
51,3303.01,434,40.64969284140092,-73.96782617140323
52,3303.03,533,40.65,-73.97
53,3306.03,1194,40.649976594051154,-74.00515636394225
54,3312.07,578,40.651722598529304,-73.97598509750344
55,3315.05,204,40.651190012612744,-74.01140936262745
56,3344.02,3845,40.651562899389674,-73.97220572894992
57,3347.03,915,40.65135549059913,-74.00716280063617
58,3353.04,455,40.65074594226097,-73.97772948293641
59,3356.07,354,40.65230596418125,-74.01346606555322
60,3376.02,3824,40.651884130515704,-73.96526334812592
61,3379.03,676,40.65263430937392,-74.00238003385674
62,3385.06,2415,40.65255234321978,-73.97257019405339
63,3388.02,130,40.652505308583336,-74.00889326790909
64,3394.03,448,40.651683384479725,-73.98123521017567
